Date,^GSPC,^OEX
2024-01-03,-0.008048618327197648,-0.005615632686546323
2024-01-04,-0.003434271663317429,-0.004264315660398192
2024-01-05,0.0018240216394339805,0.002243297631216343
2024-01-08,0.014015945436353141,0.01530933060745937
2024-01-09,-0.0014789938523175842,-0.00020549198113684156
2024-01-10,0.005649980650495912,0.006755137763227593
2024-01-11,-0.0006712808369611647,-0.0005860146851283044
2024-01-12,0.0007506937530339595,0.0010784479479508048
2024-01-16,-0.0037383190523568345,-0.0031320450054214506
2024-01-17,-0.005632731271107821,-0.004964882601997672
2024-01-18,0.008766720726243148,0.009648250162123893
2024-01-19,0.012238308232548512,0.01416045519558253
2024-01-22,0.0021919211872316853,0.0005238383046431432
2024-01-23,0.002917115340764486,0.004307010358093073
2024-01-24,0.0008115989762168653,0.0033059250408435897
2024-01-25,0.00524657813497798,0.003834406781244728
2024-01-26,-0.0006519977554263648,-0.0005825880317605156
2024-01-29,0.007528365505246204,0.007706603222149982
2024-01-30,-0.0006008303969786162,-0.0015263109954747002
2024-01-31,-0.016236851740733683,-0.018276581962021966
2024-02-01,0.012416286114049784,0.012303485084626087
2024-02-02,0.01062777072263312,0.015181117210333809
2024-02-05,-0.0031914247092839714,-0.0016508035625240928
2024-02-06,0.0023077459317481074,0.0015317485478084528
2024-02-07,0.008207682594008628,0.009255710955250128
2024-02-08,0.000570420540090595,-0.00043400445600097563
2024-02-09,0.0057259171287955156,0.0067288358088692345
2024-02-12,-0.0009494041426524416,-0.0021288700325376407
2024-02-13,-0.013768609419845444,-0.012949791145997517
2024-02-14,0.009534168304216807,0.008678509243706155
2024-02-15,0.00580437267404004,0.0034571279984293743
2024-02-16,-0.0048150435759610425,-0.005067836534812929
2024-02-20,-0.0060234264658172495,-0.007025366188110903
2024-02-21,0.0012634014951035982,0.0012401805735292794
2024-02-22,0.02090288866640342,0.024642001252471925
2024-02-23,0.000347887026502183,-0.0005509383484838618
2024-02-26,-0.003793939244668484,-0.004713768719803205
2024-02-27,0.001704895538720964,0.0009653477700355471
2024-02-28,-0.001659531321112244,-0.002285815885943647
2024-02-29,0.0052154704557999644,0.005922353613353799
2024-03-01,0.007975936433387976,0.008302620356857693
2024-03-04,-0.0011939745749630112,-0.0028024119288482187
2024-03-05,-0.010245406275917994,-0.01116420947557348
2024-03-06,0.005127932853001643,0.0043661111938890565
2024-03-07,0.010251402284983627,0.01137426546989571
2024-03-08,-0.006549922992050337,-0.008312688099937767
2024-03-11,-0.0011228682680281005,-0.0015689621257577544
2024-03-12,0.011139512586668012,0.01419198729636779
2024-03-13,-0.0019263840021219723,-0.0023759776962422575
2024-03-14,-0.002875221051495188,-0.0007249588540900243
2024-03-15,-0.0065040228597376655,-0.008488509629100933
2024-03-18,0.006298184238480456,0.008021357755677406
2024-03-19,0.00563325304434312,0.0055553444626902995
